ID,Label,Gender
234929,Anna Shaffer,1
11212,Josh Herdman,2
234928,Scarlett Byrne,1
234926,Afshan Azad,1
975,Nick Moran,2
13014,Toby Jones,2
178630,Kate Fleetwood,0
1118,Rade Serbedzija,2
83356,Jamie Campbell Bower,2
94742,Hazel Douglas,0
1643,Adrian Rawlins,2
10988,Geraldine Somerville,1
8436,Miranda Richardson,1
60348,Dave Legeno,2
1224773,Graham Duff,0
192870,Carolyn Pickles,1
2247,George Harris,2
29222,Zac Efron,2
67599,Vanessa Hudgens,1
67601,Lucas Grabeel,2
67600,Ashley Tisdale,1
67602,Corbin Bleu,2
180279,Monique Coleman,1
94146,Bart Johnson,2
19262,Alyson Reed,1
84952,Olesya Rulin,1
92619,Drew Seeley,2
56121,Joey Miyashima,0
77196,"Chris Warren, Jr.",2
200823,Ryne Sanborn,0
964908,Kaycee Stroh,1
2028039,Socorro Herrera,0
101778,Leslie Wing,1
180637,Joyce Cohen,1
2028040,Dutch Whitlock,0
1594841,Ryan Templeman,2
1533696,Irene Santiago,1
2028041,Anne Kathryn Parma,0
146328,Nick Whitaker,0
2028042,Falcon Grace,0
2028043,Sami Roe,0
2028044,Melissa Hildebrant,0
2028045,Sarah K. Aezer,0
2028046,Amanda Garrett,0
223196,Charles Klapow,0
1632208,Carlton Bluford,0
1865672,Brad Tobler,0
223198,Jared Murillo,0
1218633,Sabra Johnson,0
88709,Shawn Carter,0
2028047,Malinda Money,0
2028048,Bayli Baker,0
1939013,Allison Holker,0
1600207,Britt Stewart,0
2028050,Kelli Baker,0
2028051,Thayne Jasperson,0
1426656,Mollee Gray,0
18277,Sandra Bullock,1
1896,Don Cheadle,2
2876,Matt Dillon,2
454,Michael Peña,2
18285,Jennifer Esposito,1
18269,Brendan Fraser,2
18286,Nona Gaye,1
18288,Terrence Howard,2
8171,Ludacris,2
9030,Thandie Newton,1
18290,Ashlyn Sanchez,1
2393,Marina Sirtis,1
18291,Larenz Tate,2
18292,Beverly Todd,1
18293,Kathleen York,1
65827,Keith David,2
886,William Fichtner,2
18307,Daniel Dae Kim,2
11864,Ryan Phillippe,2
18282,Karina Arroyave,1
18283,Dato Bakhtadze,2
18296,Art Chudabala,2
18298,Tony Danza,2
18284,Loretta Devine,1
